## Table: LBDWH.V_T_CIF_MSTR
Library   : LBDWH
Schema    : DWHOWR
Engine    : ODBC (Oracle)
Variables : 127

## Variable Reference
# Num = Numeric, Char = Character

#  | Variable                       | Type | Len | Format      | Label
---|--------------------------------|------|-----|-------------|--------------------------------
1  | CIF_NO                         | Char | 7   | $7.         | CIF_NO
2  | CIF_NAME                       | Char | 80  | $80.        | CIF_NAME
3  | MAIL_ADDR1                     | Char | 80  | $80.        | MAIL_ADDR1
4  | MAIL_ADDR2                     | Char | 80  | $80.        | MAIL_ADDR2
5  | MAIL_ADDR3                     | Char | 80  | $80.        | MAIL_ADDR3
6  | FRN_ADDR                       | Char | 1   | $1.         | FRN_ADDR
7  | CLS_CODE                       | Char | 2   | $2.         | CLS_CODE
8  | RSDT_CODE                      | Char | 1   | $1.         | RSDT_CODE
9  | CNTRY_CODE                     | Char | 2   | $2.         | CNTRY_CODE
10 | CTZ_CODE                       | Char | 3   | $3.         | CTZ_CODE
11 | BIRTH_DTE                      | Num  | 8   | DATETIME20. | BIRTH_DTE
12 | BIZ_TYP_CODE                   | Char | 8   | $8.         | BIZ_TYP_CODE
13 | POSTAL_CODE                    | Char | 6   | $6.         | POSTAL_CODE
14 | SEX_CODE                       | Char | 1   | $1.         | SEX_CODE
15 | RACE_CODE                      | Char | 3   | $3.         | RACE_CODE
16 | EDUC_CODE                      | Char | 1   | $1.         | EDUC_CODE
17 | INCM_LVL_CODE                  | Char | 1   | $1.         | INCM_LVL_CODE
18 | MRTL_STS_CODE                  | Char | 1   | $1.         | MRTL_STS_CODE
19 | DEPNT_NO                       | Num  | 8   | 3.          | DEPNT_NO
20 | CIF_CRT_DTE                    | Num  | 8   | DATETIME20. | CIF_CRT_DTE
21 | CIF_TYP_CODE                   | Char | 10  | $10.        | CIF_TYP_CODE
22 | INDST_CODE                     | Char | 6   | $6.         | INDST_CODE
23 | MRKT_SEG_CODE                  | Char | 2   | $2.         | MRKT_SEG_CODE
24 | RISK_FTR_CODE                  | Char | 2   | $2.         | RISK_FTR_CODE
25 | OPN_BR_CODE                    | Char | 3   | $3.         | OPN_BR_CODE
26 | CR_STS_CODE                    | Char | 1   | $1.         | CR_STS_CODE
27 | CR_STS_CHNG_DTE                | Num  | 8   | DATETIME20. | CR_STS_CHNG_DTE
28 | CR_GDE_CODE                    | Char | 2   | $2.         | CR_GDE_CODE
29 | CUR_AC_MGR_CODE                | Char | 3   | $3.         | CUR_AC_MGR_CODE
30 | PRV_AC_MGR_CODE                | Char | 3   | $3.         | PRV_AC_MGR_CODE
31 | AC_MGR_CHNG_DTE                | Num  | 8   | DATETIME20. | AC_MGR_CHNG_DTE
32 | ID_TYP_CODE                    | Char | 2   | $2.         | ID_TYP_CODE
33 | ID_CODE                        | Char | 18  | $18.        | ID_CODE
34 | SYS_CODE                       | Char | 2   | $2.         | SYS_CODE
35 | MAS_CODE                       | Char | 5   | $5.         | MAS_CODE
36 | UPDT_DTE                       | Num  | 8   | DATETIME20. | UPDT_DTE
37 | UPDT_PRG                       | Char | 20  | $20.        | UPDT_PRG
38 | UPDT_USR                       | Char | 10  | $10.        | UPDT_USR
39 | CIF_TYP_FLG                    | Char | 1   | $1.         | CIF_TYP_FLG
40 | ORGL_UPDT_DTE                  | Num  | 8   | DATETIME20. | ORGL_UPDT_DTE
41 | CIF_ACT_FLG                    | Char | 1   | $1.         | CIF_ACT_FLG
42 | EMAIL_ADDR1                    | Char | 60  | $60.        | EMAIL_ADDR1
43 | EMAIL_ADDR2                    | Char | 60  | $60.        | EMAIL_ADDR2
44 | COMP_NAME                      | Char | 60  | $60.        | COMP_NAME
45 | YRS_IN_SVC_CODE                | Num  | 8   | 5.          | YRS_IN_SVC_CODE
46 | LAST_INCM_UPD_DTE              | Num  | 8   | DATETIME20. | LAST_INCM_UPD_DTE
47 | VIP_CODE                       | Char | 2   | $2.         | VIP_CODE
48 | DECEASED_FLG                   | Char | 1   | $1.         | DECEASED_FLG
49 | HOLD_CODE                      | Char | 1   | $1.         | HOLD_CODE
50 | CITY                           | Char | 50  | $50.        | CITY
51 | STATE_CODE                     | Char | 3   | $3.         | STATE_CODE
52 | INSUF_ADDR                     | Char | 1   | $1.         | INSUF_ADDR
53 | FIRST_DELQ_DTE                 | Num  | 8   | DATETIME20. | FIRST_DELQ_DTE
54 | SOLICITOR_NO                   | Char | 10  | $10.        | SOLICITOR_NO
55 | SOLICIT_DTE                    | Num  | 8   | DATETIME20. | SOLICIT_DTE
56 | SOLICITOR_VALIDITY             | Char | 1   | $1.         | SOLICITOR_VALIDITY
57 | MRKTG_HOLD                     | Char | 1   | $1.         | MRKTG_HOLD
58 | CIF_GRP_CODE                   | Char | 7   | $7.         | CIF_GRP_CODE
59 | CIF_RLTN_CODE                  | Char | 1   | $1.         | CIF_RLTN_CODE
60 | INCM_STRUC                     | Char | 8   | $8.         | INCM_STRUC
61 | CAR_OWN_CODE                   | Char | 1   | $1.         | CAR_OWN_CODE
62 | SELF_EMP_IND                   | Char | 1   | $1.         | SELF_EMP_IND
63 | PROFESSN_GDE_CODE              | Char | 3   | $3.         | PROFESSN_GDE_CODE
