## Table: LBFRS9.T_MTH_FRS9_RDL_AC_DTL
Library   : LBFRS9
Schema    : FRSPOWR
Engine    : ODBC (Oracle)
Variables : 147

## Variable Reference
# Num = Numeric, Char = Character

#  | Variable                       | Type | Len | Format      | Label
---|--------------------------------|------|-----|-------------|--------------------------------
1  | PROC_DTE                       | Num  | 8   | DATETIME20. | PROC_DTE
2  | DATA_ORIGIN                    | Char | 20  | $20.        | DATA_ORIGIN
3  | CIF_NO                         | Char | 50  | $50.        | CIF_NO
4  | STOCK_CODE                     | Char | 20  | $20.        | STOCK_CODE
5  | CURCY_CODE                     | Char | 3   | $3.         | CURCY_CODE
6  | SUB_MKT_SEG                    | Char | 15  | $15.        | SUB_MKT_SEG
7  | SUB_MKT_SEG_DESC               | Char | 15  | $15.        | SUB_MKT_SEG_DESC
8  | MKT_SEG                        | Char | 15  | $15.        | MKT_SEG
9  | LEGAL_ENTITY                   | Char | 20  | $20.        | LEGAL_ENTITY
10 | IA_FLG                         | Char | 2   | $2.         | IA_FLG
11 | LCY_DCF_AMT                    | Num  | 8   | 24.3        | LCY_DCF_AMT
12 | GL_AC_ID                       | Char | 20  | $20.        | GL_AC_ID
13 | FRS_BIZ_SEG                    | Char | 20  | $20.        | FRS_BIZ_SEG
14 | EXCHG_RT                       | Num  | 8   | 17.9        | EXCHG_RT
15 | RATING_SRC                     | Char | 255 | $255.       | RATING_SRC
16 | RATING                         | Char | 20  | $20.        | RATING
17 | WATCHLIST_FLG                  | Char | 1   | $1.         | WATCHLIST_FLG
18 | MFRS9_LGD_POOL                 | Char | 20  | $20.        | MFRS9_LGD_POOL
19 | MFRS9_SUB_LGD_POOL             | Char | 20  | $20.        | MFRS9_SUB_LGD_POOL
20 | UNIQUE_ID_NO                   | Char | 50  | $50.        | UNIQUE_ID_NO
21 | LCY_BAL                        | Num  | 8   | 24.3        | LCY_BAL
22 | BAL_AFT_EIR_ADJ                | Num  | 8   | 24.3        | BAL_AFT_EIR_ADJ
23 | NPL_FLG                        | Char | 1   | $1.         | NPL_FLG
24 | EFF_INT_RT                     | Num  | 8   | 17.11       | EFF_INT_RT
25 | SEC_CLS_CD                     | Char | 20  | $20.        | SEC_CLS_CD
26 | RESTRUCTURE_FLG                | Char | 1   | $1.         | RESTRUCTURE_FLG
27 | AC_CODE                        | Char | 50  | $50.        | AC_CODE
28 | REPACKAGING_FLG                | Char | 1   | $1.         | REPACKAGING_FLG
29 | RESCHEDULE_FLG                 | Char | 1   | $1.         | RESCHEDULE_FLG
30 | SM_FLG                         | Char | 2   | $2.         | SM_FLG
31 | REMOVE_RESTRUCT_FLG            | Char | 1   | $1.         | REMOVE_RESTRUCT_FLG
32 | REMOVE_RESCHED_FLG             | Char | 1   | $1.         | REMOVE_RESCHED_FLG
33 | LCY_EIR_ADJ_AMT                | Num  | 8   | 24.3        | LCY_EIR_ADJ_AMT
34 | REPRICE_FLG                    | Char | 1   | $1.         | REPRICE_FLG
35 | LCY_LEDGER_BAL                 | Num  | 8   | 24.3        | LCY_LEDGER_BAL
36 | RCY_CUR_PAR_BAL                | Num  | 8   | 24.3        | RCY_CUR_PAR_BAL
37 | NO_UNQUOTED_SHARE              | Num  | 8   | 24.3        | NO_UNQUOTED_SHARE
38 | PRODUCT_GRP                    | Char | 50  | $50.        | PRODUCT_GRP
39 | MTH_ON_BOOK                    | Num  | 8   | 24.3        | MTH_ON_BOOK
40 | STAGE_CLASSIFICATION           | Char | 20  | $20.        | STAGE_CLASSIFICATION
41 | RCY_ECL_CLOSING_FY             | Num  | 8   | 24.2        | RCY_ECL_CLOSING_FY
42 | RCY_ECL_CHARGE_FY              | Num  | 8   | 24.2        | RCY_ECL_CHARGE_FY
43 | RCY_ECL_WRITEBACK_FY           | Num  | 8   | 24.2        | RCY_ECL_WRITEBACK_FY
44 | RCY_ECL_WRITE_OFF_FY           | Num  | 8   | 24.2        | RCY_ECL_WRITE_OFF_FY
45 | RCY_ECL_OPENING_BAL            | Num  | 8   | 24.2        | RCY_ECL_OPENING_BAL
46 | RCY_MODIFICATION_GAIN_LOSS     | Num  | 8   | 24.2        | RCY_MODIFICATION_GAIN_LOSS
47 | RCY_MOD_GAIN_LOSS_OPENING_FY   | Num  | 8   | 24.2        | RCY_MOD_GAIN_LOSS_OPENING_FY
48 | RCY_MODIFICATION_GAIN_LOSS_FTM | Num  | 8   | 24.2        | RCY_MODIFICATION_GAIN_LOSS_FTM
49 | RCY_MOD_GAIN_LOSS_CLOSING_FY   | Num  | 8   | 24.2        | RCY_MOD_GAIN_LOSS_CLOSING_FY
50 | RCY_INT_UNWIND_CLOSING_FY      | Num  | 8   | 24.2        | RCY_INT_UNWIND_CLOSING_FY
51 | RCY_INT_UNWIND_CHARGE_FY       | Num  | 8   | 24.2        | RCY_INT_UNWIND_CHARGE_FY
52 | RCY_INT_UNWIND_WRITEBACK_FY    | Num  | 8   | 24.2        | RCY_INT_UNWIND_WRITEBACK_FY
53 | RCY_INT_UNWIND_WRITE_OFF_FY    | Num  | 8   | 24.2        | RCY_INT_UNWIND_WRITE_OFF_FY
54 | RCY_INT_UNWIND_OPENING_FY      | Num  | 8   | 24.2        | RCY_INT_UNWIND_OPENING_FY
55 | RCY_INT_UNWIND_CHARGE_FTM      | Num  | 8   | 24.2        | RCY_INT_UNWIND_CHARGE_FTM
56 | RCY_INT_UNWIND_WRITEBACK_FTM   | Num  | 8   | 24.2        | RCY_INT_UNWIND_WRITEBACK_FTM
57 | RCY_INT_UNWIND_WRITE_OFF_FTM   | Num  | 8   | 24.2        | RCY_INT_UNWIND_WRITE_OFF_FTM
58 | RCY_ECL_CHARGE_FTM             | Num  | 8   | 24.2        | RCY_ECL_CHARGE_FTM
59 | RCY_ECL_WRITEBACK_FTM          | Num  | 8   | 24.2        | RCY_ECL_WRITEBACK_FTM
60 | RCY_ECL_WRITE_OFF_FTM          | Num  | 8   | 24.2        | RCY_ECL_WRITE_OFF_FTM
61 | RCY_EAD_AMT                    | Num  | 8   | 24.2        | RCY_EAD_AMT
62 | RATING_INDICATOR               | Char | 50  | $50.        | RATING_INDICATOR
